Date,Cloud Provider,Service Name,Region,Department,Cost (USD),Usage Quantity
2025-01-05,Azure,Blob Storage,West Europe,Engineering,9.64,25.54
2025-01-05,Azure,Blob Storage,Southeast Asia,Engineering,12.53,45.55
2025-01-05,Azure,CDN,East US,Data Science,10.35,23.24
2025-01-05,Azure,CDN,Southeast Asia,Engineering,9.65,26.12
2025-01-05,Azure,Functions,Central India,QA,6.59,15.4
2025-01-05,Azure,Functions,Southeast Asia,QA,6.47,16.02
2025-01-05,Azure,SQL Database,East US,QA,33.92,102.61
2025-01-05,Azure,SQL Database,Central India,DevOps,46.91,159.16
2025-01-05,Azure,Virtual Machines,East US,DevOps,41.48,69.45
2025-01-05,Azure,Virtual Machines,West Europe,QA,48.58,175.38
2025-01-05,Azure,Virtual Machines,Central India,Data Science,36.99,119.33
2025-01-05,Azure,Virtual Machines,Southeast Asia,Marketing,41.91,80.26
2025-01-05,GCP,BigQuery,us-central1,QA,29.27,84.0
2025-01-05,GCP,BigQuery,europe-west1,DevOps,14.3,22.98
2025-01-05,GCP,Cloud CDN,us-central1,Finance,12.01,35.32
2025-01-05,GCP,Cloud Functions,us-central1,DevOps,6.63,17.09
2025-01-05,GCP,Cloud Functions,asia-south1,Finance,3.32,8.12
2025-01-05,GCP,Cloud Storage,us-central1,DevOps,9.67,32.62
2025-01-05,GCP,Cloud Storage,europe-west1,DevOps,6.44,26.28
2025-01-05,GCP,Cloud Storage,asia-south1,DevOps,11.92,24.74
2025-01-05,GCP,Compute Engine,us-central1,Finance,39.42,78.75
2025-01-05,GCP,Compute Engine,europe-west1,Finance,61.88,120.53
2025-01-05,GCP,Compute Engine,asia-south1,Marketing,71.68,171.26
2025-01-06,AWS,CloudFront,eu-west-1,QA,12.57,46.22
2025-01-06,AWS,EBS,us-west-2,Engineering,10.23,19.4
2025-01-06,AWS,EBS,eu-west-1,Engineering,16.22,31.82
2025-01-06,AWS,EBS,ap-south-1,Finance,8.1,33.76
2025-01-06,AWS,EC2,us-east-1,DevOps,37.69,104.57
2025-01-06,AWS,EC2,us-west-2,Marketing,32.14,90.07
2025-01-06,AWS,EC2,eu-west-1,Finance,38.05,104.5
2025-01-06,AWS,Lambda,us-west-2,DevOps,3.5,6.23
2025-01-06,AWS,Lambda,eu-west-1,QA,4.31,11.01
2025-01-06,AWS,Lambda,ap-south-1,Marketing,5.78,8.68
2025-01-06,AWS,RDS,us-east-1,Engineering,29.37,97.67
2025-01-06,AWS,RDS,us-west-2,Finance,35.15,124.03
2025-01-06,AWS,RDS,eu-west-1,QA,38.04,122.92
2025-01-06,AWS,RDS,ap-south-1,Engineering,39.07,62.53
2025-01-06,AWS,S3,us-east-1,DevOps,7.5,17.1
2025-01-06,AWS,S3,us-west-2,Marketing,6.01,20.54
2025-01-06,AWS,S3,eu-west-1,Engineering,5.55,20.04
2025-01-06,AWS,S3,ap-south-1,QA,10.75,25.86
2025-01-06,Azure,Blob Storage,East US,DevOps,12.97,42.69
2025-01-06,Azure,Blob Storage,West Europe,Engineering,8.79,24.03
2025-01-06,Azure,Blob Storage,Southeast Asia,Engineering,13.26,51.86
2025-01-06,Azure,CDN,East US,Data Science,11.61,23.35
2025-01-06,Azure,CDN,Southeast Asia,Engineering,8.12,21.43
2025-01-06,Azure,Functions,Central India,QA,7.1,17.78
2025-01-06,Azure,Functions,Southeast Asia,QA,7.62,17.28
2025-01-06,Azure,SQL Database,East US,QA,29.87,92.14
2025-01-06,Azure,SQL Database,Central India,DevOps,42.6,140.54
2025-01-06,Azure,Virtual Machines,East US,DevOps,47.36,74.68
2025-01-06,Azure,Virtual Machines,West Europe,QA,56.35,179.26
2025-01-06,Azure,Virtual Machines,Central India,Data Science,38.26,109.02
2025-01-06,Azure,Virtual Machines,Southeast Asia,Marketing,38.82,74.31
2025-01-06,GCP,BigQuery,us-central1,QA,25.39,79.69
2025-01-06,GCP,BigQuery,europe-west1,DevOps,15.36,24.9
2025-01-06,GCP,Cloud CDN,us-central1,Finance,14.09,41.63
2025-01-06,GCP,Cloud Functions,us-central1,DevOps,7.48,17.84
2025-01-06,GCP,Cloud Functions,asia-south1,Finance,4.15,10.56
2025-01-06,GCP,Cloud Storage,us-central1,DevOps,7.23,27.72
2025-01-06,GCP,Cloud Storage,europe-west1,DevOps,5.62,23.04
2025-01-06,GCP,Cloud Storage,asia-south1,DevOps,10.77,22.71
2025-01-06,GCP,Compute Engine,us-central1,Finance,37.09,76.83
2025-01-06,GCP,Compute Engine,europe-west1,Finance,62.24,115.26
2025-01-06,GCP,Compute Engine,asia-south1,Marketing,53.03,125.22
2025-01-07,AWS,CloudFront,eu-west-1,QA,12.47,45.94
2025-01-07,AWS,EBS,us-west-2,Engineering,9.12,18.62
2025-01-07,AWS,EBS,eu-west-1,Engineering,13.68,26.67
2025-01-07,AWS,EBS,ap-south-1,Finance,9.31,33.96
2025-01-07,AWS,EC2,us-east-1,DevOps,37.79,108.45
2025-01-07,AWS,EC2,us-west-2,Marketing,36.3,89.5
2025-01-07,AWS,EC2,eu-west-1,Finance,38.08,95.89
2025-01-07,AWS,Lambda,us-west-2,DevOps,3.41,5.86
2025-01-07,AWS,Lambda,eu-west-1,QA,4.36,11.81
2025-01-07,AWS,Lambda,ap-south-1,Marketing,5.4,8.85
2025-01-07,AWS,RDS,us-east-1,Engineering,32.61,108.13
2025-01-07,AWS,RDS,us-west-2,Finance,34.1,128.82
2025-01-07,AWS,RDS,eu-west-1,QA,35.16,122.01
2025-01-07,AWS,RDS,ap-south-1,Engineering,36.97,50.58
2025-01-07,AWS,S3,us-east-1,DevOps,7.78,16.01
2025-01-07,AWS,S3,us-west-2,Marketing,7.58,26.78
2025-01-07,AWS,S3,eu-west-1,Engineering,5.98,22.35
2025-01-07,AWS,S3,ap-south-1,QA,10.73,23.08
2025-01-07,Azure,Blob Storage,East US,DevOps,12.15,46.87
2025-01-07,Azure,Blob Storage,West Europe,Engineering,9.83,23.37
2025-01-07,Azure,Blob Storage,Southeast Asia,Engineering,13.6,51.36
2025-01-07,Azure,CDN,East US,Data Science,11.15,26.13
2025-01-07,Azure,CDN,Southeast Asia,Engineering,9.09,22.86
2025-01-07,Azure,Functions,Central India,QA,7.71,20.29
2025-01-07,Azure,Functions,Southeast Asia,QA,7.85,18.01
2025-01-07,Azure,SQL Database,East US,QA,34.12,117.97
2025-01-07,Azure,SQL Database,Central India,DevOps,40.31,140.47
2025-01-07,Azure,Virtual Machines,East US,DevOps,44.84,71.1
2025-01-07,Azure,Virtual Machines,West Europe,QA,55.89,194.02
2025-01-07,Azure,Virtual Machines,Central India,Data Science,40.84,117.92
2025-01-07,Azure,Virtual Machines,Southeast Asia,Marketing,45.38,80.97
2025-01-07,GCP,BigQuery,us-central1,QA,22.72,68.19
2025-01-07,GCP,BigQuery,europe-west1,DevOps,15.56,25.04
2025-01-07,GCP,Cloud CDN,us-central1,Finance,15.27,45.51
2025-01-07,GCP,Cloud Functions,us-central1,DevOps,7.62,18.7
2025-01-07,GCP,Cloud Functions,asia-south1,Finance,3.73,9.99
2025-01-07,GCP,Cloud Storage,us-central1,DevOps,8.6,29.73
2025-01-07,GCP,Cloud Storage,europe-west1,DevOps,6.04,23.06
2025-01-07,GCP,Cloud Storage,asia-south1,DevOps,10.34,18.87
2025-01-07,GCP,Compute Engine,us-central1,Finance,34.98,66.93
2025-01-07,GCP,Compute Engine,europe-west1,Finance,61.46,135.3
2025-01-07,GCP,Compute Engine,asia-south1,Marketing,72.64,164.07
2025-01-08,AWS,CloudFront,eu-west-1,QA,11.95,43.15
2025-01-08,AWS,EBS,us-west-2,Engineering,11.49,20.92
2025-01-08,AWS,EBS,eu-west-1,Engineering,16.55,31.83
2025-01-08,AWS,EBS,ap-south-1,Finance,9.57,37.15
2025-01-08,AWS,EC2,us-east-1,DevOps,40.15,117.07
2025-01-08,AWS,EC2,us-west-2,Marketing,34.11,97.0
2025-01-08,AWS,EC2,eu-west-1,Finance,35.29,95.43
2025-01-08,AWS,Lambda,us-west-2,DevOps,4.11,6.39
2025-01-08,AWS,Lambda,eu-west-1,QA,4.04,9.97
2025-01-08,AWS,Lambda,ap-south-1,Marketing,5.66,8.49
2025-01-08,AWS,RDS,us-east-1,Engineering,30.08,91.63
2025-01-08,AWS,RDS,us-west-2,Finance,28.82,113.29
2025-01-08,AWS,RDS,eu-west-1,QA,33.05,114.91
2025-01-08,AWS,RDS,ap-south-1,Engineering,44.83,72.22
2025-01-08,AWS,S3,us-east-1,DevOps,7.36,16.25
2025-01-08,AWS,S3,us-west-2,Marketing,7.69,27.83
2025-01-08,AWS,S3,eu-west-1,Engineering,6.04,21.32
2025-01-08,AWS,S3,ap-south-1,QA,11.79,28.08
2025-01-08,Azure,Blob Storage,East US,DevOps,12.98,43.65
2025-01-08,Azure,Blob Storage,West Europe,Engineering,9.72,26.09
2025-01-08,Azure,Blob Storage,Southeast Asia,Engineering,14.1,52.52
2025-01-08,Azure,CDN,East US,Data Science,12.14,28.0
2025-01-08,Azure,CDN,Southeast Asia,Engineering,11.0,27.24
2025-01-08,Azure,Functions,Central India,QA,7.85,17.21
2025-01-08,Azure,Functions,Southeast Asia,QA,7.24,18.01
2025-01-08,Azure,SQL Database,East US,QA,31.43,108.78
2025-01-08,Azure,SQL Database,Central India,DevOps,42.55,141.71
2025-01-08,Azure,Virtual Machines,East US,DevOps,43.7,75.38
2025-01-08,Azure,Virtual Machines,West Europe,QA,58.58,203.56
2025-01-08,Azure,Virtual Machines,Central India,Data Science,40.46,116.62
2025-01-08,Azure,Virtual Machines,Southeast Asia,Marketing,43.34,84.92
2025-01-08,GCP,BigQuery,us-central1,QA,26.67,85.33
2025-01-08,GCP,BigQuery,europe-west1,DevOps,17.16,28.32
2025-01-08,GCP,Cloud CDN,us-central1,Finance,13.63,39.34
2025-01-08,GCP,Cloud Functions,us-central1,DevOps,7.38,17.01
2025-01-08,GCP,Cloud Functions,asia-south1,Finance,3.95,9.94
2025-01-08,GCP,Cloud Storage,us-central1,DevOps,8.59,32.29
2025-01-08,GCP,Cloud Storage,europe-west1,DevOps,5.7,22.24
2025-01-08,GCP,Cloud Storage,asia-south1,DevOps,12.23,24.96
2025-01-08,GCP,Compute Engine,us-central1,Finance,39.45,90.4
2025-01-08,GCP,Compute Engine,europe-west1,Finance,64.87,124.36
2025-01-08,GCP,Compute Engine,asia-south1,Marketing,69.03,156.13
2025-01-09,AWS,CloudFront,eu-west-1,QA,11.88,39.16
2025-01-09,AWS,EBS,us-west-2,Engineering,10.36,20.83
2025-01-09,AWS,EBS,eu-west-1,Engineering,14.03,27.0
2025-01-09,AWS,EBS,ap-south-1,Finance,7.13,29.87
2025-01-09,AWS,EC2,us-east-1,DevOps,40.7,109.25
2025-01-09,AWS,EC2,us-west-2,Marketing,37.6,90.89
2025-01-09,AWS,EC2,eu-west-1,Finance,39.54,108.13
2025-01-09,AWS,Lambda,us-west-2,DevOps,3.77,6.5
2025-01-09,AWS,Lambda,eu-west-1,QA,3.56,9.87
2025-01-09,AWS,Lambda,ap-south-1,Marketing,5.06,8.35
2025-01-09,AWS,RDS,us-east-1,Engineering,28.62,86.23
2025-01-09,AWS,RDS,us-west-2,Finance,32.73,125.12
2025-01-09,AWS,RDS,eu-west-1,QA,39.33,126.69
2025-01-09,AWS,RDS,ap-south-1,Engineering,44.79,65.16
2025-01-09,AWS,S3,us-east-1,DevOps,7.02,15.25
2025-01-09,AWS,S3,us-west-2,Marketing,7.9,25.64
2025-01-09,AWS,S3,eu-west-1,Engineering,7.04,29.07
2025-01-09,AWS,S3,ap-south-1,QA,12.69,32.38
2025-01-09,Azure,Blob Storage,East US,DevOps,11.92,41.97
2025-01-09,Azure,Blob Storage,West Europe,Engineering,10.12,27.58
2025-01-09,Azure,Blob Storage,Southeast Asia,Engineering,13.23,46.71
2025-01-09,Azure,CDN,East US,Data Science,10.37,23.1
2025-01-09,Azure,CDN,Southeast Asia,Engineering,10.37,29.64
2025-01-09,Azure,Functions,Central India,QA,8.4,18.93
2025-01-09,Azure,Functions,Southeast Asia,QA,9.09,20.88
2025-01-09,Azure,SQL Database,East US,QA,35.62,124.38
2025-01-09,Azure,SQL Database,Central India,DevOps,41.25,136.37
2025-01-09,Azure,Virtual Machines,East US,DevOps,41.53,62.75
2025-01-09,Azure,Virtual Machines,West Europe,QA,56.54,177.32
2025-01-09,Azure,Virtual Machines,Central India,Data Science,44.4,126.45
2025-01-09,Azure,Virtual Machines,Southeast Asia,Marketing,44.78,88.51
2025-01-09,GCP,BigQuery,us-central1,QA,26.01,80.39
2025-01-09,GCP,BigQuery,europe-west1,DevOps,13.67,22.29
2025-01-09,GCP,Cloud CDN,us-central1,Finance,13.34,38.26
2025-01-09,GCP,Cloud Functions,us-central1,DevOps,7.01,17.76
2025-01-09,GCP,Cloud Functions,asia-south1,Finance,4.11,11.44
2025-01-09,GCP,Cloud Storage,us-central1,DevOps,8.45,28.14
2025-01-09,GCP,Cloud Storage,europe-west1,DevOps,5.21,18.04
2025-01-09,GCP,Cloud Storage,asia-south1,DevOps,11.07,21.59
2025-01-09,GCP,Compute Engine,us-central1,Finance,37.75,73.7
2025-01-09,GCP,Compute Engine,europe-west1,Finance,55.46,109.96
2025-01-09,GCP,Compute Engine,asia-south1,Marketing,67.0,149.17
2025-01-10,AWS,CloudFront,eu-west-1,QA,12.39,42.47
2025-01-10,AWS,EBS,us-west-2,Engineering,10.59,18.95
2025-01-10,AWS,EBS,eu-west-1,Engineering,12.22,23.1
2025-01-10,AWS,EBS,ap-south-1,Finance,9.32,38.25
2025-01-10,AWS,EC2,us-east-1,DevOps,40.65,119.74
2025-01-10,AWS,EC2,us-west-2,Marketing,40.44,112.6
2025-01-10,AWS,EC2,eu-west-1,Finance,41.34,114.44
2025-01-10,AWS,Lambda,us-west-2,DevOps,4.35,6.66
2025-01-10,AWS,Lambda,eu-west-1,QA,4.19,11.72
2025-01-10,AWS,Lambda,ap-south-1,Marketing,5.19,8.99
2025-01-10,AWS,RDS,us-east-1,Engineering,32.81,104.22
2025-01-10,AWS,RDS,us-west-2,Finance,30.63,108.26
2025-01-10,AWS,RDS,eu-west-1,QA,33.46,95.51
2025-01-10,AWS,RDS,ap-south-1,Engineering,41.2,58.05
2025-01-10,AWS,S3,us-east-1,DevOps,7.36,16.01
2025-01-10,AWS,S3,us-west-2,Marketing,8.75,26.58
2025-01-10,AWS,S3,eu-west-1,Engineering,6.08,24.25
2025-01-10,AWS,S3,ap-south-1,QA,9.99,25.26
2025-01-10,Azure,Blob Storage,East US,DevOps,13.23,47.66
2025-01-10,Azure,Blob Storage,West Europe,Engineering,8.96,22.1
2025-01-10,Azure,Blob Storage,Southeast Asia,Engineering,12.38,42.57
2025-01-10,Azure,CDN,East US,Data Science,9.93,23.55
